question,Graph1,Graph2
How can exercises help you deal with chronic obstructive pulmonary disease (COPD)?,"[['Exercise', 'benefits', 'COPD Patients'], ['Exercise', 'improves', 'Oxygen Utilization'], ['Exercise', 'reduces', 'COPD Symptoms'], ['Exercise', 'improves', 'Breathing'], ['Exercise', 'strengthens', 'Heart'], ['Exercise', 'lowers', 'Blood Pressure'], ['Exercise', 'improves', 'Circulation'], ['Exercise', 'improves', 'Energy'], ['Exercise', 'improves', 'Sleep'], ['Exercise', 'improves', 'Mental & Emotional Well-being'], ['Exercise', 'helps maintain', 'Healthy Weight'], ['Exercise', 'reduces', 'Social Isolation'], ['Exercise', 'strengthens', 'Bones']]","[['Exercises', 'benefit', 'COPD Patients'], ['Exercises', 'target', 'Lungs'], ['Exercises', 'target', 'Heart'], ['Exercises', 'improve', 'Oxygen Utilization'], ['Exercises', 'decrease', 'COPD Symptoms'], ['Exercises', 'strengthen', 'Heart'], ['Exercises', 'strengthen', 'Bones'], ['Exercises', 'enhance', 'Mental & Emotional Well-being'], ['Exercises', 'increase', 'Energy Levels'], ['COPD Exercise Program', 'includes', 'Stretching Exercises'], ['COPD Exercise Program', 'includes', 'Aerobic Exercises'], ['COPD Exercise Program', 'includes', 'Breathing Exercises'], ['COPD Exercise Program', 'includes', 'Strengthening Exercises'], ['Walking', 'is a type of', 'Aerobic Exercises'], ['Stationary Bike', 'is a type of', 'Aerobic Exercises'], ['Pursed-lip Breathing', 'is a type of', 'Breathing Exercises'], ['Diaphragmatic Breathing', 'is a type of', 'Breathing Exercises'], ['COPD Patients', 'should consult', 'Doctor before starting COPD Exercise Program'], ['COPD Patients', 'should gradually increase', 'Exercise Duration'], ['COPD Patients', 'should gradually increase', 'Exercise Frequency'], ['COPD Patients', 'should balance', 'Exercise with Rest'], ['COPD Patients', 'should avoid', 'Heavy Lifting'], ['COPD Patients', 'should avoid', 'Certain Outdoor Exercises'], ['COPD Patients', 'should avoid', 'High-Impact Activities'], ['COPD Patients', 'should follow', 'Medication Restrictions']]"
What are the symptoms of food allergy?,"[['Food allergy', 'causes', 'Gas'], ['Food allergy', 'causes', 'Cramps'], ['Food allergy', 'causes', 'Bloating'], ['Food allergy', 'causes', 'Heartburn'], ['Food allergy', 'causes', 'Headaches'], ['Food allergy', 'causes', 'Irritability'], ['Food allergy', 'causes', 'Nervousness'], ['Food allergy', 'can cause', 'severe reaction'], ['severe reaction', 'affects', 'whole body'], ['severe reaction', 'symptoms include', 'Rash'], ['severe reaction', 'symptoms include', 'Hives'], ['severe reaction', 'symptoms include', 'Itchy skin'], ['severe reaction', 'symptoms include', 'Shortness of breath'], ['severe reaction', 'symptoms include', 'Chest pain'], ['severe reaction', 'symptoms include', 'Sudden drop in blood pressure'], ['severe reaction', 'requires', 'immediate medical attention']]","[['Food allergy', 'causes', 'Rash'], ['Food allergy', 'causes', 'Hives'], ['Food allergy', 'causes', 'Itchy skin'], ['Food allergy', 'causes', 'Shortness of breath'], ['Food allergy', 'causes', 'Chest pain'], ['Food allergy', 'causes', 'Sudden drop in blood pressure'], ['Food allergy', 'causes', 'Trouble swallowing or breathing'], ['Food allergy', 'causes', 'Anaphylaxis'], ['Anaphylaxis', 'is a', 'life-threatening reaction'], ['Food allergy', 'symptom onset is', 'sudden'], ['Food allergy', 'can be triggered by', 'small amount of allergenic food'], ['Food intolerance', 'causes', 'Nausea'], ['Food intolerance', 'causes', 'Stomach pain'], ['Food intolerance', 'causes', 'Diarrhea'], ['Food intolerance', 'causes', 'Vomiting'], ['Food intolerance', 'causes', 'Gas'], ['Food intolerance', 'causes', 'Cramps'], ['Food intolerance', 'causes', 'Bloating'], ['Food intolerance', 'causes', 'Heartburn'], ['Food intolerance', 'causes', 'Headaches'], ['Food intolerance', 'causes', 'Irritability'], ['Food intolerance', 'causes', 'Nervousness'], ['Food intolerance symptoms', 'are', 'less immediate or severe than allergy'], ['Food intolerance', 'is related to', ""body's inability to digest or metabolize foods""], ['Doctor', 'helps determine', 'Food allergy'], ['Doctor', 'helps determine', 'Food intolerance'], ['Doctor', 'provides guidance on', 'managing symptoms'], ['Doctor', 'provides guidance on', 'avoiding trigger foods']]"
Why is malnutrition not likely with ulcerative colitis (UC)?,"[['Ulcerative colitis (UC)', 'does not usually affect', 'small intestine'], ['small intestine', 'is site of absorption for', 'vitamins'], ['small intestine', 'is site of absorption for', 'minerals'], ['small intestine', 'is site of absorption for', 'proteins']]","[['Ulcerative colitis (UC)', 'does not typically affect', 'small intestine'], ['small intestine', 'absorbs', 'vitamins'], ['small intestine', 'absorbs', 'minerals'], ['small intestine', 'absorbs', 'proteins'], ['individuals with UC', 'find it challenging to maintain', 'balanced diet'], ['balanced diet', 'challenging due to', 'food sensitivities'], ['balanced diet', 'challenging due to', 'loss of appetite'], ['malnutrition', 'is not a common issue for', 'individuals with UC'], ['individuals with UC', 'should consume', 'diverse diet'], ['diverse diet', 'includes', 'lean meats'], ['diverse diet', 'includes', 'fish'], ['diverse diet', 'includes', 'poultry'], ['diverse diet', 'includes', 'low-fat dairy products'], ['diverse diet', 'includes', 'bread'], ['diverse diet', 'includes', 'cereals'], ['diverse diet', 'includes', 'whole grains'], ['diverse diet', 'includes', 'fruits'], ['diverse diet', 'includes', 'vegetables'], ['diverse diet', 'includes', 'healthy fats'], ['monitoring food intake', 'helps manage', 'nutrient deficiencies'], ['monitoring food intake', 'helps maintain', 'overall health'], ['open communication with healthcare professionals', 'helps manage', 'nutrient deficiencies'], ['open communication with healthcare professionals', 'helps maintain', 'overall health']]"
What are less common causes of glaucoma?,"[['Glaucoma', 'has_less_common_cause', 'eye surgery to correct another condition'], ['Glaucoma', 'has_less_common_cause', 'both eyes being affected'], ['Glaucoma', 'has_less_common_cause', 'pressure inside the eye rising to severe levels']]","[['Glaucoma', 'has_less_common_cause', 'blunt or chemical injury to eye'], ['Glaucoma', 'has_less_common_cause', 'severe eye infection'], ['Glaucoma', 'has_less_common_cause', 'blocked blood vessels inside eye'], ['Glaucoma', 'has_less_common_cause', 'inflammatory conditions'], ['Glaucoma', 'linked_to', 'farsightedness'], ['Glaucoma', 'linked_to', 'cataracts'], ['Glaucoma', 'has_rare_cause', 'eye surgery to correct another condition'], ['Glaucoma', 'mostly_affects', 'adults over 40'], ['Glaucoma', 'can_affect', 'young adults'], ['Glaucoma', 'can_affect', 'children'], ['Glaucoma', 'can_affect', 'infants'], ['African-Americans', 'higher_incidence_of', 'Glaucoma'], ['African-Americans', 'earlier_onset_of', 'Glaucoma'], ['African-Americans', 'experience_greater', 'vision loss from Glaucoma'], ['Glaucoma', 'risk_factor', 'African-American descent'], ['Glaucoma', 'risk_factor', 'Irish descent'], ['Glaucoma', 'risk_factor', 'Russian descent'], ['Glaucoma', 'risk_factor', 'Japanese descent'], ['Glaucoma', 'risk_factor', 'Hispanic descent'], ['Glaucoma', 'risk_factor', 'Inuit descent'], ['Glaucoma', 'risk_factor', 'Scandinavian descent'], ['Glaucoma', 'risk_factor', 'age over 40'], ['Glaucoma', 'risk_factor', 'family history of glaucoma'], ['Glaucoma', 'risk_factor', 'poor vision'], ['Glaucoma', 'risk_factor', 'diabetes'], ['Glaucoma', 'risk_factor', 'taking certain steroid medications'], ['Certain steroid medications', 'example', 'prednisone'], ['Glaucoma', 'risk_factor', 'trauma to the eye']]"
How do doctors test for ketone levels in urine tests?,"[['Doctor', 'checks for', 'Ketone Levels'], ['Ketone Levels', 'are found in', 'Urine'], ['Checking Ketone Levels', 'uses', 'Urine Test Strip'], ['Urine Test Strip', 'dipped into', 'Urine'], ['Urine Test Strip', 'changes', 'Color'], ['Color Change', 'depends on', 'Ketone Levels'], ['Color', 'compared to', 'Color Chart'], ['Comparison to Color Chart', 'determines', 'Ketone Levels']]","[['Doctor', 'tests for', 'Ketone Levels'], ['Ketone Levels', 'are found in', 'Urine'], ['Testing Ketone Levels', 'uses', 'OTC Ketone Test Kit'], ['OTC Ketone Test Kit', 'involves dipping', 'Urine Test Strip'], ['Urine Test Strip', 'dipped into', 'Urine'], ['OTC Ketone Test Kit', 'involves comparing', 'Color Change'], ['Color Change', 'compared to', 'Color Chart'], ['Positive Ketone Test Result', 'indicates presence of', 'Ketones'], ['Positive Ketone Test Result', 'should be reported to', 'Doctor'], ['Ketones', 'produced when', 'Human Body lacks Insulin'], ['Human Body', 'uses', 'Fat Stores'], ['Fat Stores', 'to create', 'Energy'], ['Energy', 'for', 'Cells'], ['Large Amounts of Ketones', 'can cause', 'Ketoacidosis'], ['Ketoacidosis', 'is a', 'Life-Threatening Emergency Condition'], ['Type 1 Diabetes Patient', 'more likely to experience', 'Ketoacidosis'], ['Type 1 Diabetes Patient', 'should monitor', 'Urine for Ketones'], ['Monitoring Urine for Ketones', 'especially during', 'Illness'], ['Monitoring Urine for Ketones', 'especially during', 'High Blood Sugar Level'], ['Type 2 Diabetes Patient', 'has', 'Lower Risk of Ketones'], ['Type 2 Diabetes Patient', 'should be aware of', 'Symptoms of Ketones'], ['Type 2 Diabetes Patient', 'should report', 'Positive Ketone Test Result to Doctor']]"
What are signs of a stroke?,"[['Stroke', 'has_sign', 'sudden severe headache'], ['Stroke', 'has_sign', 'numbness or weakness on one side of body'], ['Stroke', 'has_sign', 'trouble speaking'], ['Stroke', 'has_sign', 'trouble understanding others'], ['Stroke', 'has_sign', 'vision problems in one or both eyes'], ['Stroke', 'has_sign', 'sudden dizziness'], ['Stroke', 'has_sign', 'loss of balance'], ['Stroke', 'has_sign', 'loss of coordination'], ['Stroke', 'has_sign', 'confusion']]","[['Stroke', 'occurs_when', 'blood flow to brain is cut off'], ['blood flow to brain is cut off', 'causes', 'brain cells to die'], ['Stroke', 'has_symptom', 'sudden severe headache'], ['Stroke', 'has_symptom', 'numbness or weakness (one side of body)'], ['Stroke', 'has_symptom', 'trouble speaking'], ['Stroke', 'has_symptom', 'trouble understanding others'], ['Stroke', 'has_symptom', 'vision problems'], ['Stroke', 'has_symptom', 'sudden dizziness'], ['Stroke', 'has_symptom', 'loss of balance'], ['Stroke', 'has_symptom', 'confusion'], ['Suspecting a stroke', 'requires_action', 'call 911 immediately'], ['Early treatment for stroke', 'can_limit', 'damage to brain'], ['Early treatment for stroke', 'can_save', 'life'], ['Person over 40 with no migraine history', 'should_assume', 'pain is serious'], ['Migraine', 'has_typical_symptoms', 'similar symptoms each time'], ['Stroke symptoms', 'onset', 'suddenly'], ['Stroke symptoms', 'may_include', 'negative symptoms'], ['Negative symptoms', 'example', 'loss of sight'], ['Negative symptoms', 'example', 'loss of feeling'], ['Distinguishing migraine and stroke', 'can_be', 'challenging'], ['Accurate information', 'requires', 'consulting a healthcare professional']]"
What are the warning signs of dysgraphia?,"[['Dysgraphia', 'manifests as', 'cramped grip'], ['Dysgraphia', 'manifests as', 'difficulty with spatial planning'], ['Dysgraphia', 'manifests as', 'frequent erasing'], ['Dysgraphia', 'manifests as', 'inconsistency in letter and word spacing'], ['Dysgraphia', 'manifests as', 'poor spelling'], ['Dysgraphia', 'manifests as', 'unusual writing posture'], ['Dysgraphia', 'manifests as', 'difficulty writing and thinking simultaneously']]","[['Children with dysgraphia', 'display', 'unclear, irregular, or inconsistent handwriting'], ['unclear, irregular, or inconsistent handwriting', 'features', 'different slants'], ['unclear, irregular, or inconsistent handwriting', 'features', 'different shapes'], ['unclear, irregular, or inconsistent handwriting', 'features', 'different upper- and lower-case letters'], ['unclear, irregular, or inconsistent handwriting', 'features', 'different cursive and print styles'], ['Children with dysgraphia', 'tend to', 'write or copy slowly'], ['Children with dysgraphia', 'have', 'cramped grip'], ['cramped grip', 'may lead to', 'sore hand'], ['Children with dysgraphia', 'struggle with', 'letter and word spacing'], ['Dysgraphia', 'manifests as', 'inconsistency in letter and word spacing'], ['Dysgraphia', 'manifests as', 'poor spelling'], ['Dysgraphia', 'manifests as', 'unusual wrist, body, or paper position while writing'], ['Dysgraphia', 'makes it hard for', 'children to write and think simultaneously'], ['difficulty writing and thinking simultaneously', 'especially during', 'creative writing tasks'], ['Parents', 'may notice symptoms of', 'Dysgraphia'], ['Teachers', 'may notice symptoms of', 'Dysgraphia'], ['symptoms of Dysgraphia', 'noticed when', 'child begins writing assignments in school'], ['Dysgraphia', 'often co-occurs with', 'other learning disabilities'], ['other learning disabilities', 'include', 'ADHD'], ['other learning disabilities', 'include', 'dyslexia'], ['Diagnosis of Dysgraphia', 'first step involves', 'pediatrician ruling out other conditions'], ['other conditions', 'could cause', 'writing difficulties'], ['licensed psychologist', 'can diagnose', 'Dysgraphia'], ['licensed psychologist', 'trained in', 'learning disorders']]"
What can I eat if I am diabetic and have the flu?,"[['person with diabetes', 'has condition', 'influenza'], ['person with diabetes', 'should follow', 'meal plan'], ['person with diabetes', 'should eat', '15g carbs'], ['15g carbs', 'frequency', 'hourly'], ['eating 15g carbs', 'stabilizes', 'blood sugar'], ['eating 15g carbs', 'prevents', 'dehydration']]","[['person with diabetes', 'has condition', 'influenza'], ['person with diabetes', 'should eat', '15g carbs'], ['15g carbs', 'source', 'meal plan'], ['15g carbs', 'frequency', 'hourly'], ['person with diabetes', 'should choose', 'sugar-free liquids'], ['person with diabetes', 'should consume', '1 cup liquid'], ['1 cup liquid', 'frequency', 'hourly'], ['consuming 1 cup liquid hourly', 'maintains', 'hydration'], ['person with diabetes', 'should sip', 'liquids'], ['liquids', 'consumption pattern', 'throughout the day'], ['person with diabetes', 'should avoid', 'high-sugar foods'], ['low blood sugar', 'requires', 'consumption of 15g carbs'], ['15g carbs for low blood sugar', 'example', 'grape juice'], ['15g carbs for low blood sugar', 'example', 'sports drink'], ['influenza prevention', 'includes', 'hand washing'], ['influenza prevention', 'includes', 'annual flu vaccine'], ['person with diabetes', 'should practice', 'hand washing'], ['person with diabetes', 'should get', 'annual flu vaccine']]"
Does exercise help if you have ADHD?,"[['Exercise', 'helps', 'Individuals with ADHD'], ['Individuals with ADHD', 'achieve', 'Weight Loss'], ['Exercise', 'can be done in', 'Short Exercise Bursts (10-15 minutes)']]","[['Exercise', 'is beneficial for', 'Individuals with ADHD'], ['Exercise', 'helps manage', 'Hyperactivity'], ['Exercise', 'increases', 'Focus'], ['Exercise', 'increases', 'Attention'], ['Exercise', 'serves as', 'Healthy Distraction'], ['Healthy Distraction', 'prevents', 'Impulses to Overeat'], ['Regular Exercise', 'improves', 'Overall Well-being'], ['Regular Exercise', 'reduces', 'Weight Gain'], ['Weight Gain', 'associated with', 'ADHD'], ['Weight Gain', 'associated with', 'ADHD Treatments'], ['Regular Exercise', 'can be incorporated into', 'Daily Routines'], ['Daily Routines', 'include', 'Short Workouts'], ['Daily Routines', 'include', 'Group Activities']]"
What are the advantages of contacts over eyeglasses in children?,"[['Contacts', 'offer', 'better vision'], ['Contacts', 'offer', 'better peripheral vision'], ['Contacts', 'are_less_noticeable_than', 'Eyeglasses'], ['Contacts', 'lead_to', 'improved self-esteem for children']]","[['Contacts', 'offer', 'better vision'], ['Rigid Gas Permeable Lenses', 'enhance', 'peripheral vision'], ['Contacts', 'boosts', 'self-esteem'], ['self-esteem boost', 'leads_to', 'improved school performance'], ['self-esteem boost', 'leads_to', 'more friendships'], ['Child', 'requires', 'maturity'], ['Child', 'requires', 'responsibility'], ['Child', 'must_follow', ""doctor's instructions""], ['Contacts', 'have_risks_like', 'eye irritation'], ['Contacts', 'have_risks_like', 'infections'], ['Parents', 'should_consult', 'Eye Doctor'], ['Consultation with Eye Doctor', 'determines', 'suitability of contacts for child'], ['Daily Disposable Soft Lenses', 'simplify', 'care'], ['Parents', 'should_avoid', 'Non-prescription Lenses from Stores'], ['Non-prescription Lenses from Stores', 'pose_risk_of', 'eye infection'], ['Non-prescription Lenses from Stores', 'pose_risk_of', 'injury']]"
What are the symptoms of type 1 diabetes?,"[['Type 1 diabetes', 'causes symptom', 'extreme thirst'], ['Type 1 diabetes', 'causes symptom', 'extreme hunger'], ['Type 1 diabetes', 'causes symptom', 'frequent urination'], ['Type 1 diabetes', 'causes symptom', 'unusual fatigue'], ['Type 1 diabetes', 'causes symptom', 'unusual weakness'], ['Type 1 diabetes', 'causes symptom', 'sudden weight loss'], ['Type 1 diabetes', 'causes symptom', 'blurred vision'], ['Type 1 diabetes', 'causes symptom', 'changes in vision'], ['Type 1 diabetes', 'causes symptom', 'vaginal yeast infections'], ['Type 1 diabetes', 'causes symptom', 'fruity-smelling breath'], ['Type 1 diabetes', 'causes symptom', 'difficulty breathing'], ['Type 1 diabetes', 'can cause', 'loss of consciousness'], ['Type 1 diabetes symptoms', 'similar to', 'Type 2 diabetes symptoms']]","[['Type 1 diabetes', 'causes symptom', 'extreme thirst'], ['Type 1 diabetes', 'causes symptom', 'extreme hunger'], ['Type 1 diabetes', 'causes symptom', 'frequent urination'], ['Type 1 diabetes', 'causes symptom', 'unusual tiredness'], ['Type 1 diabetes', 'causes symptom', 'unusual weakness'], ['Type 1 diabetes', 'causes symptom', 'sudden weight loss'], ['Type 1 diabetes', 'causes symptom', 'blurred vision'], ['Type 1 diabetes', 'causes symptom', 'frequent infections'], ['Type 1 diabetes', 'can lead to', 'loss of consciousness'], ['Type 1 diabetes symptoms', 'similar to', 'Type 2 diabetes symptoms'], ['symptom similarity', 'makes', 'diagnosis challenging'], ['Type 1 diabetes', 'most common among', 'northern European descent'], ['Type 1 diabetes', 'risk factor', 'family history'], ['Type 1 diabetes diagnosis', 'involves', 'blood tests'], ['blood tests', 'measure', 'average blood glucose levels'], ['blood tests', 'detect', 'specific antibodies'], ['specific antibodies', 'associated with', 'Type 1 diabetes'], ['Type 1 diabetes treatment', 'includes', 'daily insulin injections'], ['Type 1 diabetes treatment', 'includes', 'monitoring blood glucose levels'], ['Type 1 diabetes treatment', 'includes', 'healthy eating habits'], ['Type 1 diabetes treatment', 'includes', 'regular exercise']]"
What is focal brain damage?,"[['Focal Brain Damage', 'is a type of', 'Brain Injury'], ['Focal Brain Damage', 'is caused by', 'Trauma'], ['Focal Brain Damage', 'is caused by', 'Stroke'], ['Focal Brain Damage', 'is caused by', 'Tumor'], ['Focal Brain Damage', 'leads to', 'Symptoms'], ['Symptoms', 'depend on', 'Location of Damage'], ['Symptoms', 'depend on', 'Extent of Damage']]","[['Focal Brain Damage', 'also known as', 'Localized Brain Damage'], ['Focal Brain Damage', 'is a type of', 'Brain Injury'], ['Focal Brain Damage', 'damage confined to', 'Small Area'], ['Focal Brain Damage', 'is caused by', 'Bullet Entering Brain'], ['Focal Brain Damage', 'is caused by', 'Stroke'], ['Focal Brain Damage', 'is caused by', 'Specific Injuries'], ['Focal Brain Damage', 'is different from', 'Diffuse Brain Damage'], ['Diffuse Brain Damage', 'damage spread out', 'Throughout Brain'], ['Focal Brain Damage', 'can result in', 'Symptoms'], ['Symptoms', 'depend on', 'Location of Damage'], ['Symptoms', 'depend on', 'Extent of Damage'], ['Symptoms', 'include', 'Paralysis'], ['Symptoms', 'include', 'Tremors'], ['Symptoms', 'include', 'Loss of Speech'], ['Proper Diagnosis', 'is essential to', 'Minimize Damage'], ['Proper Diagnosis', 'is essential to', 'Promote Recovery'], ['Proper Treatment', 'is essential to', 'Minimize Damage'], ['Proper Treatment', 'is essential to', 'Promote Recovery'], ['Safety Precautions', 'can help', 'Prevent Brain Injuries']]"
What's been linked to Parkinson's disease?,"[[""Parkinson's disease"", 'linked to', 'Agent Orange'], [""Parkinson's disease"", 'linked to', 'farming chemicals'], [""Parkinson's disease"", 'linked to', 'factory metals'], [""Parkinson's disease"", 'linked to', 'factory chemicals']]","[[""Parkinson's disease"", 'linked to', 'genetics'], [""Parkinson's disease"", 'linked to', 'age'], [""Parkinson's disease"", 'linked to', 'family history'], [""Parkinson's disease"", 'linked to', 'job'], [""Parkinson's disease"", 'linked to', 'race'], [""Parkinson's disease"", 'linked to', 'serious head injury'], [""Parkinson's disease"", 'linked to', 'where you live'], ['genetic mutations', 'identified as risk factor for', ""Parkinson's disease""], ['Agent Orange', 'identified as risk factor for', ""Parkinson's disease""], ['farming chemicals', 'identified as risk factor for', ""Parkinson's disease""], ['factory chemicals', 'identified as risk factor for', ""Parkinson's disease""], ['metals', 'identified as risk factor for', ""Parkinson's disease""], ['chemicals', 'identified as risk factor for', ""Parkinson's disease""], ['living in rural areas', 'identified as risk factor for', ""Parkinson's disease""], [""exact cause of Parkinson's disease"", 'remains', 'unclear'], ['research', 'needed to understand', ""relationship between factors and Parkinson's disease""]]"
Can you have elderly-onset rheumatoid arthritis and osteoarthritis?,"[['Elderly-onset RA', 'presents', 'treatment challenges'], ['Osteoarthritis', 'presents', 'treatment challenges'], ['Drug side effects', 'are a factor in', 'treatment challenges'], ['RA drugs', 'effectiveness for pain reduction', 'is limited'], ['RA drugs', 'effectiveness for joint function', 'is limited'], ['RA drugs', 'treats', 'Elderly-onset RA']]","[['Elderly-onset RA', 'can coexist with', 'Osteoarthritis'], ['Elderly-onset RA', 'shares symptoms with', 'Osteoarthritis'], ['Shared symptoms', 'include', 'Joint pain'], ['Shared symptoms', 'include', 'Stiffness'], ['Doctor', 'determines primary cause of', 'symptoms'], ['Doctor', 'determines best treatment for', 'symptoms'], ['Management of both conditions', 'involves', 'Medications'], ['Management of both conditions', 'involves', 'Gentle exercise'], ['Management of both conditions', 'involves', 'Lifestyle changes'], ['Gentle exercise', 'includes', 'Physical therapy'], ['Gentle exercise', 'includes', 'Aquatherapy'], ['Gentle exercise', 'includes', 'Balance exercises'], ['Gentle exercise', 'improves', 'Joint function'], ['Gentle exercise', 'reduces', 'Pain'], ['Patient', 'discusses symptoms with', 'Healthcare provider'], ['Healthcare provider', 'creates', 'Personalized treatment plan'], ['Personalized treatment plan', 'addresses', 'symptoms']]"
What biologics are now available to treat severe psoriais?,"[['Biologics', 'treats', 'severe psoriasis'], ['adalimumab', 'is_a', 'Biologic'], ['adalimumab', 'has_brand_name', 'Humira'], ['certolizumab', 'is_a', 'Biologic'], ['certolizumab', 'has_brand_name', 'Cimzia'], ['etanercept', 'is_a', 'Biologic'], ['etanercept', 'has_brand_name', 'Enbrel'], ['guselkumab', 'is_a', 'Biologic'], ['guselkumab', 'has_brand_name', 'Tremfya'], ['tildrakizumab', 'is_a', 'Biologic'], ['tildrakizumab', 'has_brand_name', 'Ilumya'], ['infliximab', 'is_a', 'Biologic'], ['infliximab', 'has_brand_name', 'Remicade'], ['ixekizumab', 'is_a', 'Biologic'], ['ixekizumab', 'has_brand_name', 'Taltz'], ['risankizumab', 'is_a', 'Biologic'], ['risankizumab', 'has_brand_name', 'Skyrizi'], ['secukinumab', 'is_a', 'Biologic'], ['secukinumab', 'has_brand_name', 'Cosentyx'], ['ustekinumab', 'is_a', 'Biologic'], ['ustekinumab', 'has_brand_name', 'Stelara']]","[['Biologics', 'treats', 'severe psoriasis'], ['Biologics', 'affect', 'specific parts of immune system'], ['specific parts of immune system', 'play_role_in', 'psoriasis'], ['Biologics', 'may_increase_risk_of', 'infections'], ['Biologics', 'may_increase_risk_of', 'certain diseases'], ['Doctor', 'may_not_prescribe', 'Biologics'], ['Doctor', 'condition_for_not_prescribing', 'weak immune system'], ['weak immune system', 'caused_by', 'health conditions'], ['weak immune system', 'caused_by', 'other medications'], ['adalimumab', 'is_a', 'Biologic'], ['adalimumab', 'has_brand_name', 'Humira'], ['certolizumab', 'is_a', 'Biologic'], ['certolizumab', 'has_brand_name', 'Cimzia'], ['etanercept', 'is_a', 'Biologic'], ['etanercept', 'has_brand_name', 'Enbrel'], ['guselkumab', 'is_a', 'Biologic'], ['guselkumab', 'has_brand_name', 'Tremfya'], ['tildrakizumab', 'is_a', 'Biologic'], ['tildrakizumab', 'has_brand_name', 'Ilumya'], ['infliximab', 'is_a', 'Biologic'], ['infliximab', 'has_brand_name', 'Remicade'], ['ixekizumab', 'is_a', 'Biologic'], ['ixekizumab', 'has_brand_name', 'Taltz'], ['risankizumab', 'is_a', 'Biologic'], ['risankizumab', 'has_brand_name', 'Skyrizi'], ['secukinumab', 'is_a', 'Biologic'], ['secukinumab', 'has_brand_name', 'Cosentyx'], ['ustekinumab', 'is_a', 'Biologic'], ['ustekinumab', 'has_brand_name', 'Stelara']]"
